Name,English,Translation,Restrictions,Comment
ExtensionEditor_PlistInject,Inject to Info.plist:,Inject to Info.plist:,,manifest injection label
ExtensionEditor_AndroidPermissions,Android Permissions:,Android Permissions:,,android permissions label
ExtensionEditor_ProxyFileName,File Name,File Name,,file name label
ExtensionEditor_ProxyTarget,Target,Target,,target label
ExtensionEditor_FileExistsTitle,File already exists,File already exists,,title for file already exists yes/no dialog
ExtensionEditor_FileExistsMessage,A file with the same name already exists. Would you like to overwrite it?,A file with the same name already exists. Would you like to overwrite it?,,proxy file overwrite prompt
ExtensionEditor_VarArgs,Variable Length Arguments,Variable Length Arguments,,label
ExtensionEditor_DeleteFileAreYouSure,Are you sure you want to delete the file?,Are you sure you want to delete the file?,,main extension dialog confirmation message
ExtensionEditor_AddGenericPlaceholder,Add Generic Placeholder,Add Generic Placeholder,,context menu entry
ExtensionEditor_AddGMLPlaceholder,Add GML Placeholder,Add GML Placeholder,,context menu entry
ExtensionEditor_AddJSPlaceholder,Add JS Placeholder,Add JS Placeholder,,context menu entry
ExtensionEditor_AddFile,Add File,Add File,,context menu entry
ExtensionEditor_DeleteProxyAreYouSure,Are you sure you want to delete the proxy?,Are you sure you want to delete the proxy?,,confirm message
ExtensionEditor_DeleteResourceAreYouSure,Are you sure you want to delete the resource?,Are you sure you want to delete the resource?,,confirm message
ExtensionEditor_DeleteArgumentAreYouSure,Are you sure you want to delete the argument?,Are you sure you want to delete the argument?,,confirm message
ExtensionEditor_ExtensionFileExistsTitle,Extension file already exists,Extension file already exists,,title for extension already exists yes/no dialog
ExtensionEditor_ExtensionFileExistsMessage,An extension file with the same name already exists. Would you like to overwrite it?,An extension file with the same name already exists. Would you like to overwrite it?,,overwrite prompt
ExtensionEditor_ButtonChoiceOnFileDeletion,Automatic response to file deletion,Automatic response to file deletion,,Automatic button choice on file deletion setting
ExtensionEditor_ButtonChoiceOnResourceDeletion,Automatic button choice on function & macro deletion,Automatic button choice on function & macro deletion,,Automatic button choice on function & macro deletion setting
ExtensionEditor_ButtonChoiceOnProxyDeletion,Automatic response to proxy file deletion,Automatic response to proxy file deletion,,Automatic button choice on proxy file deletion setting
ExtensionEditor_ButtonChoiceOnArgumentDeletion,Automatic button choice on argument deletion,Automatic button choice on argument deletion,,Automatic button choice on argument deletion setting
ExtensionEditor_ButtonChoiceOnAndroidPermissionDeletion,Automatic button choice on android permission deletion,Automatic button choice on android permission deletion,,Automatic button choice on android permission deletion setting
ExtensionEditor_RemoveAndroidPermissionAreYouSure,Are you sure you want to delete the permission?,Are you sure you want to delete the permission?,,confirm message
ExtensionEditor_RemoveIosSystemFrameworkAreYouSure,Are you sure you want to delete the iOS system framework?,Are you sure you want to delete the iOS system framework?,,confirm message
ExtensionEditor_ButtonChoiceOnIosSystemFrameworkDeletion,Automatic button choice on iOS System Framework deletion,Automatic button choice on iOS System Framework deletion,,Automatic button choice on android permission deletion setting
ExtensionEditor_RemoveIos3rdPartyFrameworkAreYouSure,Are you sure you want to delete the iOS 3rd party framework?,Are you sure you want to delete the iOS 3rd party framework?,,confirm message
ExtensionEditor_ButtonChoiceOnIos3rdPartyFrameworkDeletion,Automatic button choice on iOS 3rd Party Framework deletion,Automatic button choice on iOS 3rd Party Framework deletion,,Automatic button choice on iOS 3rd Party Framework deletion setting
GoToType_WindowTitle,Search resource name:,Search resource name:,,Go To Type window title
GoToType_FieldCaption,What are you looking for?,What are you looking for?,,Go To Type default search field caption
GoToType_MaxItemPref,Maximum number of search results to display,Maximum number of search results to display,,Go To max number pref
ExtensionEditor_ExportPropertiesTitle,Extension Properties - Export,Extension Properties - Export,,export dialog title
ExtensionEditor_ImportPropertiesTitle,Extension Properties - Import,Extension Properties - Import,,import dialog title
ExtensionEditor_All,All,All,,all label
ExtensionEditor_Project,Project:,Project:,,project label
ExtensionEditor_Extension,Extension:,Extension:,,Extension label
ExtensionEditor_LearnMore,Learn More,Learn More,,Learn More label
ExtensionEditor_AddFunction,Add Function,Add Function,,add function label
ExtensionEditor_AddMacro,Add Macro,Add Macro,,add macro label
ExtensionEditor_RemoveSelected,Remove Selected,Remove Selected,,Remove Selected label
WorkspaceOverview_Title,Workspace Overview,Workspace Overview,,Workspace overview window title
WorkspaceOverview_Tabs,Workspaces,Workspaces,,Workspace overview workspaces box caption
WorkspaceOverview_ActiveWindows,Active Windows,Active Windows,,Workspace overview active window caption
WorkspaceOverview_ActiveTabs,Active Tabs,Active Tabs,,Workspace overview active tabs caption
WorkspaceMenu_Windows,Windows,Windows,,Workspace area context menu
WorkspaceMenu_Resources,Resources,Resources,,Workspace area context menu
WorkspaceMenu_GoTo,Go To...,Go To...,,Workspace area context menu
ExtensionEditor_AddSDK,Add SDK,Add SDK,,main properties context menu entry
ExtensionEditor_AddSource,Add Source,Add Source,,main properties context menu entry
ExtensionEditor_AddIosFrameworkFromMac,Enter framework path on Mac,Enter framework path on Mac,,main properties context menu entry
ExtensionEditor_AddPlaceholder,Add Placeholder,Add Placeholder,,main properties context menu entry
ExtensionEditor_AddArgument,Add Argument,Add Argument,,function properties context menu entry
Extension_Error,Extension Error,Extension Error,,Error with Extension setup
ExtensionFunction_4DiffArgs,Extensions with more than 4 arguments on DLL types must all have the same argument type.\n{0},Extensions with more than 4 arguments on DLL types must all have the same argument type.\n{0},,Extensions with more than 4 arguments on DLL types must all have the same argument type warning
ExtensionFunction_ConfigIssue,The DLL {0} on extension {1} with function {2} has more than 4 arguments and are not all the same type.,The DLL {0} on extension {1} with function {2} has more than 4 arguments and are not all the same type.,,The DLL extension with function has more than 4 arguments and are not all the same type.
animations_settings,Disable IDE transition animations,Disable IDE transition animations,,Transition animation preference
Survey_Later,Close,Close,,Choose to answer survey questions later
Survey_SubmitAll,Send Now,Send Now,,Choose to submit all questions now
Survey_SubmitMoreFeedback,Send and Take More,Send and Take More,,Choose to submit all questions and provide more feedback
Survey_Rating_5,Excellent,Excellent,,Excellent Rating
Survey_Rating_4,Good,Good,,Good Rating
Survey_Rating_3,Okay,Okay,,Okay Rating
Survey_Rating_2,Poor,Poor,,Poor Rating
Survey_Rating_1,Terrible,Terrible,,Really Bad Rating
Survey_Rating_0,Not Applicable,Not Applicable,,Rating Not Applicable
Surveys_OptIn,Opt-in to feedback surveys,Opt-in to feedback surveys,,feedback survey opt-in checkbox text
Notifications_Hub,Notification Hub,Notification Hub,,Notification Hub string
SoundMixer_ToolTip_AddGroup,Add sound group,Add sound group,,Sound mixer tool tip for adding a sound group to the mixer
SoundMixer_ToolTip_CloseGroup,Close sound group,Close sound group,,Sound mixer tool tip for adding a sound group to the mixer
SoundMixer_ToolTip_SoundGroup,Sound group,Sound group,,Sound mixer tool tip for the sound group
SoundMixer_ToolTip_MuteGroup,Mute all sounds in group,Mute all sounds in group,,Sound mixer tool tip
SoundMixer_ToolTip_ColumnVolume,Column volume,Column volume,,Sound mixer tool tip for the column volume
SoundMixer_ToolTip_PlayGroup,Play all sounds in group,Play all sounds in group,,Sound mixer tool tip
SoundMixer_ToolTip_LoopGroup,Loop playback for all sounds in group,Loop playback for all sounds in group,,Sound mixer tool tip
SoundMixer_ToolTip_RewindGroup,Rewind all sounds in group to start,Rewind all sounds in group to start,,Sound mixer tool tip
SoundMixer_ToolTip_CloseSound,Close sound,Close sound,,Tool tip for closing the sound in the mixer
SoundMixer_ToolTip_PlaySound,Play sound,Play sound,,Tool tip for playing an individual sound in the sound mixer
SoundMixer_ToolTip_MuteSound,Mute sound,Mute sound,,Tool tip for muting an individual sound in the sound mixer
SoundMixer_ToolTip_RepeatSound,Loop playback,Loop playback,,Tool tip for looping an individual sound in the sound mixer
SoundMixer_ToolTip_RewindSound,Rewind to start,Rewind to start,,Tool tip for rewinding an individual sound in the sound mixer
SoundMixer_ToolTip_PlaybackPosition,Playback position,Playback position,,Tool tip for setting the playback position an individual sound in the sound mixer
SoundMixer_ToolTip_LinkGroups,Link groups,Link groups,,Tool tip for link groups button
SoundEditor_ToolTip_PlaySound,Preview sound,Preview sound,,Tool tip for playing an individual sound in the sound editor
SoundEditor_ToolTip_MuteSound,Mute sound,Mute sound,,Tool tip for muting an individual sound in the sound editor
SoundEditor_ToolTip_RepeatSound,Preview Looped,Preview Looped,,Tool tip for looping an individual sound in the sound editor
SoundEditor_ToolTip_RewindSound,Rewind to start,Rewind to start,,Tool tip for rewinding an individual sound in the sound editor
SoundEditor_ToolTip_Volume,Sound volume,Sound volume,,Tool tip for the volume slider in the sound editor
SoundEditor_ToolTip_OpenGroupMixer,Sound group mixer,Sound group mixer,,Tool tip for the button to open the sound group mixer
SoundEditor_ToolTip_BrowseForSound,Choose sound file,Choose sound file,,Tool tip for the button used to open the file browser to choose a new file
Shader_ChangeShaderType,Shader Type,Shader Type,,Context menu sub menu heading for choosing the shader type
ShaderType_GLSLES,GLSL ES,GLSL ES,,the glsles shader type option
ShaderType_GLSL,GLSL,GLSL,,the glsl shader type option
ShaderType_HLSL9,HLSL 9,HLSL 9,,the hlsl9 shader type option
ShaderType_HLSL11,HLSL 11,HLSL 11,,the hlsl11 shader type option
ShaderType_PSSL,PS4 (PSSL),PS4 (PSSL),,the pssl shader type option
resourcetree_editimageondoubleclick,Sprite double click opens image editor,Sprite double click opens image editor,,the message to accompany the double click edit the image property
ResourceTree_OpenObjectEventsDoubleClick,Object double click opens all object events,Object double click opens all object events,,double click object resource preference
ResourceTree_CompactPref,Use compact resource tree (re-open resource tree),Use compact resource tree (re-open resource tree),,resource tree pref
ResourceTree_AllowLabelBelowHundred,Resource font can scale below 100%,Resource font can scale below 100%,,resource tree pref
ResourceTree_AllowLabelAboveHundred,Resource font can scale above 100%,Resource font can scale above 100%,,resource tree pref
ResourceTree_ItemSizeLabel,Resource item size:,Resource item size:,,Label
ResourceTree_ItemSize,Default zoom (%),Default zoom (%),,resource tree pref
ResourceTree_ItemMinSize,Resource item minimum size,Resource item minimum size,,resource tree pref
ResourceTree_ItemMaxSize,Resource item maximum size,Resource item maximum size,,resource tree pref
Settings_ShowPassword,Show Password,Show Password,,Show Password
SourceControlGit_CreateRepoTitle,Source Control (Git) Create,Source Control (Git) Create,,Source Control (Git) Create Title
SourceControlGit_CreateRepoMessage,This will create a bare (server) repository and bind your project to it,This will create a bare (server) repository and bind your project to it,,Create Repository message
SourceControlGit_CreateRepoSuccess,Repository created successfully,Repository created successfully,,Create repository success message
WorkspaceMenu_Windows_CloseAll,Close All,Close All,,Workspace context menu close all windows
WorkspaceMenu_Windows_ShowAll,Show All,Show All,,Workspace context menu show all windows
InvalidTTFCharMap,The font {0} does not contain any character maps and cannot be loaded.,The font {0} does not contain any character maps and cannot be loaded.,,TTF error when font has no character maps
RoomEditor_MousePosStatus,"({0}, {1})","({0}, {1})",,the mouse position label in the room editor status bar
RoomEditor_SelectedItemStatus,"{0}: ({1}, {2})","{0}: ({1}, {2})",,the current selection status label in the room editor status bar for one selection
RoomEditor_SelectedAreaStatus,"{4} selected items - area: ({0}, {1}) -> ({2}, {3})","{4} selected items - area: ({0}, {1}) -> ({2}, {3})",,the current selection area status label in the room editor status bar for multiple selections
RoomEditor_TileLayerStatus_Coord,"Tile map coordinate: ({0}, {1})","Tile map coordinate: ({0}, {1})",,the current tile map coordinate status in the room editor status bar
RoomEditor_TileLayerStatus_BrushIndices,Brush tiles: ({0}),Brush tiles: ({0}),,the current tile brush indices status in the room editor status bar
RoomEditor_TileLayerStatus_Full,"Tile map coordinate: ({0}, {1}) Brush tiles: ({2})","Tile map coordinate: ({0}, {1}) Brush tiles: ({2})",,the current tile map coordinate and tile brush indices status in the room editor status bar
RoomEditor_PathLayerStatus,Selected control point(s): {0},Selected control point(s): {0},,the selected control points status for the path layer shown in the room editor status bar
RoomEditor_PathLayerPointStatus,"({0}, {1}),","({0}, {1}),",,the an individual control point status for the path layer shown in the room editor status bar
ListBoxEnum_eAnimSpeedType_FramesPerSecond,Frames per second,Frames per second,,the playback type comboxbox entry for fps
ListBoxEnum_eAnimSpeedType_FramesPerGameFrame,Frames per game frame,Frames per game frame,,the playback type comboxbox entry for game frame locked playback
ListBoxEnum_eObjectPropertyType_Real,Real,Real,,Real value type
ListBoxEnum_eObjectPropertyType_Integer,Integer,Integer,,Integer value type
ListBoxEnum_eObjectPropertyType_String,String,String,,String value type
ListBoxEnum_eObjectPropertyType_Boolean,Boolean,Boolean,,Boolean value type
ListBoxEnum_eObjectPropertyType_Expression,Expression,Expression,,Expression value type
ListBoxEnum_eObjectPropertyType_Resource,Resource,Resource,,Resource value type
ListBoxEnum_eObjectPropertyType_Color,Colour,Colour,,Color value type
ListBoxEnum_eObjectPropertyType_List,List,List,,List value type
ResourcePickerButton_ToolTip,Select a resource,Select a resource,,Resource picker button tooltip
Help_eObjectPropertyType_Real,The value is a real number and accepts decimal places (allows expressions),The value is a real number and accepts decimal places (allows expressions),,Real value type help tip
Help_eObjectPropertyType_Integer,The value is a whole number (allows expressions),The value is a whole number (allows expressions),,Integer value type help tip
Help_eObjectPropertyType_String,The value is a string (quotes are optional),The value is a string (quotes are optional),,String value type help tip
Help_eObjectPropertyType_Boolean,The value is either true or false,The value is either true or false,,Boolean value type help tip
Help_eObjectPropertyType_Expression,The value is any code expression,The value is any code expression,,Expression value type help tip
Help_eObjectPropertyType_Resource,The value is a resource (allows expressions),The value is a resource (allows expressions),,Resource value type help tip
Help_eObjectPropertyType_Color,The value is a colour (allows expressions),The value is a colour (allows expressions),,Color value type help tip
Help_eObjectPropertyType_List,The value is one or more expressions from a list (if multi-select is on then\nthis is an array of expressions),The value is one or more expressions from a list (if multi-select is on then\nthis is an array of expressions),,List value type help tip
DnDToolbox_Menu_AddToWorkspace,Use {0},Use {0},,DnD™ Toolbox use action
DnDToolbox_Menu_CollapseAll,Collapse All,Collapse All,,DnD toolbox collapse all
DnDToolbox_Menu_Favorite,Make Favourite,Make Favourite,,DnD™ Toolbox make favourite
DnDToolbox_Menu_RemoveFav,Remove Favourite,Remove Favourite,,DnD™ Toolbox remove favourite
DnDToolbox_Menu_ClearRecentlyUsed,Clear Recently Used,Clear Recently Used,,DnD™ Toolbox clear recently used
DnDToolbox_Menu_ClearFavs,Clear Favourites,Clear Favourites,,DnD™ Toolbox clear favourites
SourceControlGit_FileLock,One or more files may be locked. Please check that none of the files are open in external programs. Do you want to try again?,One or more files may be locked. Please check that none of the files are open in external programs. Do you want to try again?,,Files potentially locked and need to try again
SourceControlGit_Error,Source Control (Git) Error,Source Control (Git) Error,,Error with Source Control (Git)
SourceControlGit_ProjectBreakRetry,"Be aware that this may have broken your project, as the command was not successful and you have chosen not to retry it.","Be aware that this may have broken your project, as the command was not successful and you have chosen not to retry it.",,Project may be broken warning due to command failing and choosing not to retry
SourceControlGit_ServerNotFound,Server '{0}' has not been found,Server '{0}' has not been found,,Server has not been found error
SourceControlGit_NotEmptyDirectory,The chosen directory must be empty,The chosen directory must be empty,,The chosen directory must be empty
SourceControlGit_InvalidPath,The URL is invalid,The URL is invalid,,The URL is invalid
SourceControlGit_Clone,Source Control (Git) Clone,Source Control (Git) Clone,,Source Control (Git) Clone Title
SourceControlGit_CloneNonBareOrigin,This is a non-bare repository which we do not support direct cloning from.\nHowever we have found its origin so we will push to that and clone from the origin instead.,This is a non-bare repository which we do not support direct cloning from.\nHowever we have found its origin so we will push to that and clone from the origin instead.,,Message for when a clone is done on a non-bare repository but an origin has been found.
SourceControlGit_CloneNonBareNoOrigin,This is a non-bare repository which we do not support direct cloning from.\nThere is no Origin marked on this repository so we will ask you to create one so both old and new repositories will be linked via the new bare repository,This is a non-bare repository which we do not support direct cloning from.\nThere is no Origin marked on this repository so we will ask you to create one so both old and new repositories will be linked via the new bare repository,,Message for when a clone is done on a non-bare repository and an origin has not been found.
Survey_Title,Feedback Survey,Feedback Survey,,Feedback Survey Window Title
TileSetEditor_Add47AutoTileSet,Add 47 Tile Set,Add 47 Tile Set,,Tooltip for adding a new 47 tile auto tile set
TileSetEditor_Add16AutoTileSet,Add 16 Tile Set,Add 16 Tile Set,,Tooltip for adding a new 16 tile auto tile set
TileSetEditor_DeleteSelectedAutoSet,Delete Selected Set,Delete Selected Set,,Tooltip for deleting the selected auto tile set
TileSetEditor_ShowAutoTileGuide,Show Guide Overlay,Show Guide Overlay,,Tooltip for showing the auto tile guide overlaying the auto tile sets
ZoomWidget_ToggleGrid,Toggle Grid (G),Toggle Grid (G),,Tooltip for the toggle grid button
ZoomWidget_GridOptions,Grid Options,Grid Options,,Tooltip for opening the grid options drop down
ZoomWidget_SplitViewToggle,Show Split View,Show Split View,,Tooltip for toggling split view
ZoomWidget_SplitViewMode,Split View Mode,Split View Mode,,Tooltip for choosing split view mode
ZoomWidget_ZoomIn,Zoom In (${room_area_zoom_in}),Zoom In (${room_area_zoom_in}),,Tooltip for zooming in
ZoomWidget_ZoomOut,Zoom Out (${room_area_zoom_out}),Zoom Out (${room_area_zoom_out}),,Tooltip for zooming out
ZoomWidget_ZoomReset,Reset Zoom (${room_area_zoom_reset}),Reset Zoom (${room_area_zoom_reset}),,Tooltip for reset zoom
ZoomWidget_ZoomCentreFit,Centre Fit,Centre Fit,,Tooltip for zoom centre fit
RoomEditor_ShowViews,Show Views,Show Views,,Tooltip for show views button
RoomEditor_PlayAnimation,Play Animation,Play Animation,,Tooltip for play animation button
display_us_spelling_functions,Show US Spelling for system functions,Show US Spelling for system functions,,Show US Spelling for system functions
max_num_syntax_errors,Maximum number of Syntax Errors to display,Maximum number of Syntax Errors to display,,Maximum number of Syntax Errors to display
enable_reference_warnings,Enable variable reference warnings,Enable variable reference warnings,,Enable variable reference warnings
GMStdCatDefault,Default,Default,,Drag and Drop™ library category name
GMStdFunction,Function,Function,,DnD label
GMStdOption,Option,Option,,DnD label
GMStdChoose_Name,Choose,Choose,,DnD label
GMStdChoose_Desc,Randomly chooses one of the supplied arguments.,Randomly chooses one of the supplied arguments.,,DnD label
GMStdCallFunction_Name,Function Call,Function Call,,DnD label
GMStdCallFunction_Desc,Call any function with optional arguments and get the return value of the function.,Call any function with optional arguments and get the return value of the function.,,DnD label
GMStdCatCommon,Common,Common,,Drag and Drop™ library category name
GMStdCatCamera,Cameras,Cameras,,Drag and Drop™ library category name
GMStdCatInstances,Instances,Instances,,Drag and Drop™ library category name
GMStdCatMouseKeyboard,Mouse & Keyboard,Mouse & Keyboard,,Drag and Drop™ library category name
GMStdCatGamepad,Gamepad,Gamepad,,Drag and Drop™ library category name
GMStdCatMovement,Movement,Movement,,Drag and Drop™ library category name
GMStdCatCollisions,Collisions,Collisions,,Drag and Drop™ library category name
GMStdCatDrawing,Drawing,Drawing,,Drag and Drop™ library category name
GMStdCatTiles,Tiles,Tiles,,Drag and Drop™ library category name
GMStdCatInstVars,Instance Variables,Instance Variables,,Drag and Drop™ library category name
GMStdCatGlobal,Global,Global,,Drag and Drop™ library category name
GMStdCatRandom,Random,Random,,Drag and Drop™ library category name
GMStdCatLoops,Loops,Loops,,Drag and Drop™ library category name
GMStdCatSwitch,Switch,Switch,,Drag and Drop™ library category name
GMStdCatTypes,Types,Types,,Drag and Drop™ library category name
GMStdCatDataStructs,Data Structures,Data Structures,,Drag and Drop™ library category name
GMStdCatAudio,Audio,Audio,,Drag and Drop™ library category name
GMStdCatRooms,Rooms,Rooms,,Drag and Drop™ library category name
GMStdCatGame,Game,Game,,Drag and Drop™ library category name
GMStdCatFiles,Files,Files,,Drag and Drop™ library category name
GMStdCatTimelines,Timelines,Timelines,,Drag and Drop™ library category name
GMStdCatPaths,Paths,Paths,,Drag and Drop™ library category name
GMStdCatMisc,Miscellaneous,Miscellaneous,,Drag and Drop™ library category name
GMStdCatParticles,Particles,Particles,,Drag and Drop™ library category name
GMStdVar_Name,Assign Variable,Assign Variable,,Drag and Drop™ library action name
GMStdVar_Desc,Assign a value to a variable.,Assign a value to a variable.,,Drag and Drop™ library action description
GMStdTempVar_Name,Declare Temp,Declare Temp,,Drag and Drop™ library action name
GMStdTempVar_Desc,Declare a temporary variable.,Declare a temporary variable.,,Drag and Drop™ library action description
GMStdTemp,Temp,Temp,,DnD™ library
GMStdIfVar_Name,If Variable,If Variable,,Drag and Drop™ library action name
GMStdIfVar_Desc,Check if a variable satisfies a condition.,Check if a variable satisfies a condition.,,Drag and Drop™ library action description
GMStdIfScore_Name,If Score,If Score,,Drag and Drop™ library action name
GMStdIfScore_Desc,Check if an instance's score satisfies a condition.,Check if an instance's score satisfies a condition.,,Drag and Drop™ library action description
GMStdIfLives_Name,If Lives,If Lives,,Drag and Drop™ library action name
GMStdIfLives_Desc,Check if an instance's lives satisfies a condition.,Check if an instance's lives satisfies a condition.,,Drag and Drop™ library action description
GMStdIfHealth_Name,If Health,If Health,,Drag and Drop™ library action name
GMStdIfHealth_Desc,Check if an instance's health satisfies a condition.,Check if an instance's health satisfies a condition.,,Drag and Drop™ library action description
GMStdIfExpr_Name,If Expression,If Expression,,Drag and Drop™ library action name
GMStdIfExpr_Desc,Check if an expression is true or false.,Check if an expression is true or false.,,Drag and Drop™ library action description
GMStdIfUndef_Name,If Undefined,If Undefined,,Drag and Drop™ library action name
GMStdIfUndef_Desc,Check if a variable is or isn't undefined.,Check if a variable is or isn't undefined.,,Drag and Drop™ library action description
GMStdElse_Name,Else,Else,,Drag and Drop™ library action name
GMStdElse_Desc,Append this to an if-statement to execute code when the condition evaluates to false.,Append this to an if-statement to execute code when the condition evaluates to false.,,Drag and Drop™ library action description
GMStdExCode_Name,Execute Code,Execute Code,,Drag and Drop™ library action name
GMStdExCode_Desc,Execute a piece of code.,Execute a piece of code.,,Drag and Drop™ library action description
GMStdExScript_Name,Execute Script,Execute Script,,Drag and Drop™ library action name
GMStdExScript_Desc,Execute a script resource.,Execute a script resource.,,Drag and Drop™ library action description
GMStdApplyTo_Name,Apply To,Apply To,,Drag and Drop™ library action name
GMStdApply,Apply,Apply,,Apply dnd label
GMStdApplyTo_Desc,Execute code in the context of a specific object or instance.,Execute code in the context of a specific object or instance.,,Drag and Drop™ library action description
GMStdRet_Name,Return,Return,,Drag and Drop™ library action name
GMStdRet_Desc,Return a value from a script.,Return a value from a script.,,Drag and Drop™ library action description
GMStdMacro_Name,Macro,Macro,,Drag and Drop™ library action name
GMStdMacro_Desc,Define a global compile-time macro.,Define a global compile-time macro.,,Drag and Drop™ library action description
GMStdExit_Name,Exit,Exit,,Drag and Drop™ library action name
GMStdExit_Desc,Exit the current event without executing the remaining code.,Exit the current event without executing the remaining code.,,Drag and Drop™ library action description
GMStdInstCount_Name,Get Instance Count,Get Instance Count,,Drag and Drop™ library action name
GMStdInstCount_Desc,Returns the number of active instances of the object.,Returns the number of active instances of the object.,,Drag and Drop™ library action description
GMStdInstCreate_Name,Create Instance,Create Instance,,Drag and Drop™ library action name
GMStdInstCreate_Desc,Creates an instance of an object.,Creates an instance of an object.,,Drag and Drop™ library action description
GMStdInstChange_Name,Change Instance,Change Instance,,Drag and Drop™ library action name
GMStdInstChange_Desc,Change an instance to be an instance of another object.,Change an instance to be an instance of another object.,,Drag and Drop™ library action description
GMStdInstDestroy_Name,Destroy Instance,Destroy Instance,,Drag and Drop™ library action name
GMStdInstDestroy_Desc,Destroy an instance and remove it from the room.,Destroy an instance and remove it from the room.,,Drag and Drop™ library action description
GMStdDestroyAtPos_Name,Destroy At Position,Destroy At Position,,Drag and Drop™ library action name
GMStdDestroyAtPos_Desc,Destroy all instances at a position.,Destroy all instances at a position.,,Drag and Drop™ library action description
GMStdSetSprite_Name,Set Sprite,Set Sprite,,Drag and Drop™ library action name
GMStdSetSprite_Desc,Change the sprite of an object instance.,Change the sprite of an object instance.,,Drag and Drop™ library action description
GMStdRotSprite_Name,Set Instance Rotation,Set Instance Rotation,,Drag and Drop™ library action name
GMStdRotSprite_Desc,Set the rotation of an instance.,Set the rotation of an instance.,,Drag and Drop™ library action description
GMStdSpriteAnimSpd_Name,Set Animation Speed,Set Animation Speed,,Drag and Drop™ library action name
GMStdSpriteAnimSpd_Desc,Set the animation speed of an instance's sprite.,Set the animation speed of an instance's sprite.,,Drag and Drop™ library action description
GMStdSpriteScale_Name,Set Instance Scale,Set Instance Scale,,Drag and Drop™ library action name
GMStdSpriteScale_Desc,Set the horizontal and vertical scaling of an instance's sprite.,Set the horizontal and vertical scaling of an instance's sprite.,,Drag and Drop™ library action description
GMStdSpriteAlpha_Name,Set Instance Alpha,Set Instance Alpha,,Drag and Drop™ library action name
GMStdSpriteAlpha_Desc,Set the transparency (0-1) of an instance's sprite.,Set the transparency (0-1) of an instance's sprite.,,Drag and Drop™ library action description
GMStdSpriteColor_Name,Set Instance Colour,Set Instance Colour,,Drag and Drop™ library action name
GMStdSpriteColor_Desc,Set the colour blend of an instance's sprite.,Set the colour blend of an instance's sprite.,,Drag and Drop™ library action description
GMStdSetAlarm_Name,Set Alarm Countdown,Set Alarm Countdown,,Drag and Drop™ library action name
GMStdSetAlarm_Desc,Set the countdown value of an alarm event.,Set the countdown value of an alarm event.,,Drag and Drop™ library action description
GMStdGetAlarm_Name,Get Alarm Countdown,Get Alarm Countdown,,Drag and Drop™ library action name
GMStdGetAlarm_Desc,Get the countdown value of an alarm event.,Get the countdown value of an alarm event.,,Drag and Drop™ library action description
GMStdInheritEvent_Name,Call Parent Event,Call Parent Event,,Drag and Drop™ library action name
GMStdInheritEvent_Desc,Call this event on the instance's parent object.,Call this event on the instance's parent object.,,Drag and Drop™ library action description
GMStdIfMousePressed_Name,If Mouse Pressed,If Mouse Pressed,,Drag and Drop™ library action name
GMStdIfMousePressed_Desc,Check if a mouse button is pressed.,Check if a mouse button is pressed.,,Drag and Drop™ library action description
GMStdIfMouseDown_Name,If Mouse Down,If Mouse Down,,Drag and Drop™ library action name
GMStdIfMouseDown_Desc,Check if a mouse button is held or released.,Check if a mouse button is held or released.,,Drag and Drop™ library action description
GMStdIfMouseUp_Name,If Mouse Released,If Mouse Released,,Drag and Drop™ library action name
GMStdIfMouseUp_Desc,Check if a mouse button is released.,Check if a mouse button is released.,,Drag and Drop™ library action description
GMStdIfKeyPressed_Name,If Key Pressed,If Key Pressed,,Drag and Drop™ library action name
GMStdIfKeyPressed_Desc,Check if a key is pressed.,Check if a key is pressed.,,Drag and Drop™ library action description
GMStdIfKeyDown_Name,If Key Down,If Key Down,,Drag and Drop™ library action name
GMStdIfKeyDown_Desc,Check if a key is down or released.,Check if a key is down or released.,,Drag and Drop™ library action description
GMStdIfKeyUp_Name,If Key Released,If Key Released,,Drag and Drop™ library action name
GMStdIfKeyUp_Desc,Check if a key is released.,Check if a key is released.,,Drag and Drop™ library action description
GMStdGPAxis_Name,Get Gamepad Axis,Get Gamepad Axis,,Drag and Drop™ library action name
GMStdGPAxis_Desc,Get the value of an axis on a gamepad.,Get the value of an axis on a gamepad.,,Drag and Drop™ library action description
GMStdGPTrigger_Name,Get Gamepad Trigger,Get Gamepad Trigger,,Drag and Drop™ library action name
GMStdGPTrigger_Desc,Get the value of a gamepad's trigger button.,Get the value of a gamepad's trigger button.,,Drag and Drop™ library action description
GMStdIfGPDown_Name,If Gamepad Button Down,If Gamepad Button Down,,Drag and Drop™ library action name
GMStdIfGPDown_Desc,Check if a gamepad button is down or released.,Check if a gamepad button is down or released.,,Drag and Drop™ library action description
GMStdIfGPPressed_Name,If Gamepad Button Pressed,If Gamepad Button Pressed,,Drag and Drop™ library action name
GMStdIfGPPressed_Desc,Check if a gamepad button is pressed.,Check if a gamepad button is pressed.,,Drag and Drop™ library action description
GMStdIfGPUp_Name,If Gamepad Button Released,If Gamepad Button Released,,Drag and Drop™ library action name
GMStdIfGPUp_Desc,Check if a gamepad button is released.,Check if a gamepad button is released.,,Drag and Drop™ library action description
GMStdGPDeadzone_Name,Set Gamepad Axis Deadzone,Set Gamepad Axis Deadzone,,Drag and Drop™ library action name
